time,rain (mm),lat,lon
01-12-2010,0,30.5,79.5
02-12-2010,0,30.5,79.5
03-12-2010,0,30.5,79.5
04-12-2010,0,30.5,79.5
05-12-2010,0,30.5,79.5
06-12-2010,0,30.5,79.5
07-12-2010,0,30.5,79.5
08-12-2010,0,30.5,79.5
09-12-2010,0,30.5,79.5
10-12-2010,0,30.5,79.5
11-12-2010,0,30.5,79.5
12-12-2010,0,30.5,79.5
13-12-2010,0,30.5,79.5
14-12-2010,0,30.5,79.5
15-12-2010,0,30.5,79.5
16-12-2010,0,30.5,79.5
17-12-2010,0,30.5,79.5
18-12-2010,0,30.5,79.5
19-12-2010,0,30.5,79.5
20-12-2010,0,30.5,79.5
21-12-2010,0,30.5,79.5
22-12-2010,0,30.5,79.5
23-12-2010,0,30.5,79.5
24-12-2010,0,30.5,79.5
25-12-2010,0,30.5,79.5
26-12-2010,0,30.5,79.5
27-12-2010,0,30.5,79.5
28-12-2010,0,30.5,79.5
29-12-2010,0,30.5,79.5
30-12-2010,0.80687362,30.5,79.5
31-12-2010,4.761523247,30.5,79.5
01-01-2011,26.56020164,30.5,79.5
02-01-2011,0,30.5,79.5
03-01-2011,0,30.5,79.5
04-01-2011,0,30.5,79.5
05-01-2011,0,30.5,79.5
06-01-2011,0,30.5,79.5
07-01-2011,0,30.5,79.5
08-01-2011,0,30.5,79.5
09-01-2011,0,30.5,79.5
10-01-2011,0,30.5,79.5
11-01-2011,0,30.5,79.5
12-01-2011,0,30.5,79.5
13-01-2011,0,30.5,79.5
14-01-2011,0,30.5,79.5
15-01-2011,0.306392223,30.5,79.5
16-01-2011,7.925196171,30.5,79.5
17-01-2011,0,30.5,79.5
18-01-2011,0.176429749,30.5,79.5
19-01-2011,0,30.5,79.5
20-01-2011,0,30.5,79.5
21-01-2011,0,30.5,79.5
22-01-2011,0,30.5,79.5
23-01-2011,0,30.5,79.5
24-01-2011,0,30.5,79.5
25-01-2011,0,30.5,79.5
26-01-2011,0.176429749,30.5,79.5
27-01-2011,0,30.5,79.5
28-01-2011,0,30.5,79.5
29-01-2011,0,30.5,79.5
30-01-2011,0,30.5,79.5
31-01-2011,0,30.5,79.5
01-02-2011,0,30.5,79.5
02-02-2011,0,30.5,79.5
03-02-2011,0,30.5,79.5
04-02-2011,0,30.5,79.5
05-02-2011,0,30.5,79.5
06-02-2011,0,30.5,79.5
07-02-2011,0.188549072,30.5,79.5
08-02-2011,12.16630554,30.5,79.5
09-02-2011,0,30.5,79.5
10-02-2011,0,30.5,79.5
11-02-2011,0,30.5,79.5
12-02-2011,0,30.5,79.5
13-02-2011,0,30.5,79.5
14-02-2011,0.942745328,30.5,79.5
15-02-2011,15.7271347,30.5,79.5
16-02-2011,23.42112541,30.5,79.5
17-02-2011,6.114467621,30.5,79.5
18-02-2011,6.175040245,30.5,79.5
19-02-2011,0.352859497,30.5,79.5
20-02-2011,0,30.5,79.5
21-02-2011,0.176429749,30.5,79.5
22-02-2011,0,30.5,79.5
23-02-2011,0,30.5,79.5
24-02-2011,0,30.5,79.5
25-02-2011,0,30.5,79.5
26-02-2011,4.787171364,30.5,79.5
27-02-2011,3.682142258,30.5,79.5
28-02-2011,0,30.5,79.5
01-03-2011,0,30.5,79.5
02-03-2011,0.288213253,30.5,79.5
03-03-2011,0.517840743,30.5,79.5
04-03-2011,10.72788334,30.5,79.5
05-03-2011,5.08818531,30.5,79.5
06-03-2011,0,30.5,79.5
07-03-2011,0,30.5,79.5
08-03-2011,0,30.5,79.5
09-03-2011,0,30.5,79.5
10-03-2011,0.61750406,30.5,79.5
11-03-2011,0,30.5,79.5
12-03-2011,0,30.5,79.5
13-03-2011,0,30.5,79.5
14-03-2011,0,30.5,79.5
15-03-2011,0,30.5,79.5
16-03-2011,0,30.5,79.5
17-03-2011,0,30.5,79.5
18-03-2011,0,30.5,79.5
19-03-2011,0,30.5,79.5
20-03-2011,0,30.5,79.5
21-03-2011,1.77641654,30.5,79.5
22-03-2011,0,30.5,79.5
23-03-2011,0,30.5,79.5
24-03-2011,0,30.5,79.5
25-03-2011,1.235008121,30.5,79.5
26-03-2011,0,30.5,79.5
27-03-2011,0,30.5,79.5
28-03-2011,2.293586493,30.5,79.5
29-03-2011,0,30.5,79.5
30-03-2011,0.517857909,30.5,79.5
31-03-2011,0,30.5,79.5
01-04-2011,0,30.5,79.5
02-04-2011,0,30.5,79.5
03-04-2011,0.212117702,30.5,79.5
04-04-2011,0,30.5,79.5
05-04-2011,0,30.5,79.5
06-04-2011,0,30.5,79.5
07-04-2011,0,30.5,79.5
08-04-2011,0,30.5,79.5
09-04-2011,0,30.5,79.5
10-04-2011,0,30.5,79.5
11-04-2011,1.587867618,30.5,79.5
12-04-2011,0,30.5,79.5
13-04-2011,9.222858429,30.5,79.5
14-04-2011,7.643695831,30.5,79.5
15-04-2011,12.70294094,30.5,79.5
16-04-2011,0,30.5,79.5
17-04-2011,0.63568306,30.5,79.5
18-04-2011,6.978402615,30.5,79.5
19-04-2011,0.447133988,30.5,79.5
20-04-2011,0.117843166,30.5,79.5
21-04-2011,0,30.5,79.5
22-04-2011,0,30.5,79.5
23-04-2011,0,30.5,79.5
24-04-2011,0,30.5,79.5
25-04-2011,0,30.5,79.5
26-04-2011,0,30.5,79.5
27-04-2011,0,30.5,79.5
28-04-2011,0,30.5,79.5
29-04-2011,0,30.5,79.5
30-04-2011,0,30.5,79.5
01-05-2011,0,30.5,79.5
02-05-2011,0,30.5,79.5
03-05-2011,0.247470632,30.5,79.5
04-05-2011,0,30.5,79.5
05-05-2011,0.777766526,30.5,79.5
06-05-2011,1.689541817,30.5,79.5
07-05-2011,1.072037816,30.5,79.5
08-05-2011,7.380755901,30.5,79.5
09-05-2011,0,30.5,79.5
10-05-2011,0,30.5,79.5
11-05-2011,0,30.5,79.5
12-05-2011,0,30.5,79.5
13-05-2011,5.971005917,30.5,79.5
14-05-2011,0,30.5,79.5
15-05-2011,0,30.5,79.5
16-05-2011,0,30.5,79.5
17-05-2011,0,30.5,79.5
18-05-2011,0,30.5,79.5
19-05-2011,1.146896362,30.5,79.5
20-05-2011,0,30.5,79.5
21-05-2011,4.16434145,30.5,79.5
22-05-2011,10.7939024,30.5,79.5
23-05-2011,0,30.5,79.5
24-05-2011,0,30.5,79.5
25-05-2011,0,30.5,79.5
26-05-2011,2.507055521,30.5,79.5
27-05-2011,14.47935772,30.5,79.5
28-05-2011,1.829633355,30.5,79.5
29-05-2011,0,30.5,79.5
30-05-2011,8.735541344,30.5,79.5
31-05-2011,0,30.5,79.5
01-06-2011,34.37149048,30.5,79.5
02-06-2011,24.21905518,30.5,79.5
03-06-2011,4.481449127,30.5,79.5
04-06-2011,0,30.5,79.5
05-06-2011,0,30.5,79.5
06-06-2011,0.329960853,30.5,79.5
07-06-2011,3.6289289,30.5,79.5
08-06-2011,19.59850121,30.5,79.5
09-06-2011,6.028240681,30.5,79.5
10-06-2011,6.704491615,30.5,79.5
11-06-2011,0,30.5,79.5
12-06-2011,0.212117702,30.5,79.5
13-06-2011,16.17315102,30.5,79.5
14-06-2011,0,30.5,79.5
